tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1518378876124102658,seanking2919,Sean King,https://twitter.com/seanking2919/photo,0,1,2,True,2022-04-24T23:58:28+00:00,"Lionsgate

So, I get to cancel all copyrights and trademarks with Harvey Weinstein's film library and then figure out something better to do.",[],[],['https://pbs.twimg.com/media/FPn0gouXsAUp6qy?format=jpg&name=small'],[],https://twitter.com/seanking2919/status/1518378876124102658,
1518375017679147012,Vigilante3591,Mario H. OCHOA,https://twitter.com/Vigilante3591/photo,0,0,1,True,2022-04-24T23:43:08+00:00,"@EuroFilmAcademy
 @sundancefest
 @Lionsgate
 @NetflixFilm
 @FilmLinc
 @YahooNewsAU
 @sternde
 @latimes
 @latimesphotos
 @UniversalPics
 @UniStudios
 @zdfstudios
 @TheLocalSweden
 @DailyMailCeleb
 @DailyMirror
 @SanDiegoMag
 @annettefrier
 @BILD_English
 @SPIEGEL_English
 @efm_berlinale
 @berlinale",[],"['EuroFilmAcademy', 'sundancefest', 'Lionsgate', 'NetflixFilm', 'FilmLinc', 'YahooNewsAU', 'sternde', 'latimes', 'latimesphotos', 'UniversalPics', 'UniStudios', 'zdfstudios', 'TheLocalSweden', 'DailyMailCeleb', 'DailyMirror', 'SanDiegoMag', 'annettefrier', 'BILD_English', 'SPIEGEL_English', 'efm_berlinale', 'berlinale']",['https://pbs.twimg.com/media/FRJVqIQWUAUedd9?format=jpg&name=small'],[],https://twitter.com/Vigilante3591/status/1518375017679147012,
1518373666530209798,Arena1237,Daniel Arena beep/beep/boop,https://twitter.com/Arena1237/photo,1,1,3,False,2022-04-24T23:37:46+00:00,"@FilmSchoolRooki
 @Lionsgate
 @TheJustinProper
 @JWReynolds14
 @just_Libert_e
 @mranero77
 @deleted_scenes1
 @TacoforFive1
 @Elvis742712
 @Teresa__Martin
 @d_soncasie
 @sidebarcantina
 @Gato_parodia
 @Jinja_Ninja_78
 @AlanPressPlay1
 @ThuggleM
 @AwardThis
 @l_TheMovieGuy_l
 @meg_an_leigh",[],"['FilmSchoolRooki', 'Lionsgate', 'TheJustinProper', 'JWReynolds14', 'just_Libert_e', 'mranero77', 'deleted_scenes1', 'TacoforFive1', 'Elvis742712', 'Teresa__Martin', 'd_soncasie', 'sidebarcantina', 'Gato_parodia', 'Jinja_Ninja_78', 'AlanPressPlay1', 'ThuggleM', 'AwardThis', 'l_TheMovieGuy_l', 'meg_an_leigh']",[],[],https://twitter.com/Arena1237/status/1518373666530209798,
1518372398000533504,GreenTechVoyage,Glen Webb,https://twitter.com/GreenTechVoyage/photo,1,0,1,False,2022-04-24T23:32:44+00:00,"A few years back, we had to bring mini-me to Lionsgate, due to her tonsils screaming to be emancipated. The angry guy next to her in the ER was handcuffed to one side of the the bed, while a larger security guard sat nearby. I think we have different definitions of entertaining.",[],[],[],['https://video.twimg.com/tweet_video/FRJXpS0VIAAi7wY.mp4'],https://twitter.com/GreenTechVoyage/status/1518372398000533504,
1518367910774902784,Infernapeshit,Aatrox enjoyer,https://twitter.com/Infernapeshit/photo,0,0,0,False,2022-04-24T23:14:54+00:00,@CosmonautMarcus,[],['CosmonautMarcus'],[],[],https://twitter.com/Infernapeshit/status/1518367910774902784,
1518363176152313856,IrishFilmCritic,Irish Film Critic,https://twitter.com/IrishFilmCritic/photo,0,9,10,False,2022-04-24T22:56:05+00:00,"4K Ultra HD Review: #MoonFall Crashes Harder Than Any Previous Roland Emmerich Film http://irishfilmcritic.com/ztZFw 
@LGHomeEnt
 @Lionsgate
 @MoonfallFilm",['MoonFall'],"['LGHomeEnt', 'Lionsgate', 'MoonfallFilm']",['https://pbs.twimg.com/media/FRJPQWLXEAIjqjW?format=jpg&name=small'],[],https://twitter.com/IrishFilmCritic/status/1518363176152313856,
1518361030900031488,bleedingcool,Bleeding Cool,https://twitter.com/bleedingcool/photo,0,11,18,False,2022-04-24T22:47:34+00:00,"John Wick: Chapter 4 is due out until May of 2023, but while wandering the show floor of CinemaCon, we found the first piece of promotional art. #JohnWickChapter4 #CinemaCon #Lionsgate","['JohnWickChapter4', 'CinemaCon', 'Lionsgate']",[],[],[],https://twitter.com/bleedingcool/status/1518361030900031488,https://t.co/qR4D4HSXqc
1518358567446888456,Christo31352818,Christopher Moore,https://twitter.com/Christo31352818/photo,0,0,0,False,2022-04-24T22:37:46+00:00,I can’t wait to see this movie . It has some of my most favorite people in it and I bet it was fun to make !,[],[],[],[],https://twitter.com/Christo31352818/status/1518358567446888456,
1518347950602080257,JayKnuth,Blvckout4.20,https://twitter.com/JayKnuth/photo,0,0,0,False,2022-04-24T21:55:35+00:00,"So when will the studio finally make Mandrake the magician live action movie or live action series hmm 
@wbpictures
 @hbomax
 @SonyPictures
 @Lionsgate
 @netflix",[],"['wbpictures', 'hbomax', 'SonyPictures', 'Lionsgate', 'netflix']",['https://pbs.twimg.com/media/FRJBaftVsAA7Lah?format=jpg&name=small'],[],https://twitter.com/JayKnuth/status/1518347950602080257,
1518345796227379203,TLionsgate,Family_Dolla_holla,https://twitter.com/TLionsgate/photo,0,0,0,False,2022-04-24T21:47:01+00:00,How much is United’s net spend?,[],[],[],[],https://twitter.com/TLionsgate/status/1518345796227379203,
